rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing hero CTAs,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,"The hero presents two equally prominent CTAs, forcing users to choose a gender before exploring, which dilutes the primary conversion path.",Two primary CTAs in the hero split user focus and dilute the main conversion path.,"h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Single primary CTA to browse all products, with secondary gender links in nav.","Hero section contains both 'SHOP MEN' and 'SHOP WOMEN' CTAs, with no single dominant action. | H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN' and 'SHOP WOMEN' with no subhead visible in the crawl.","Funnel-Path & Commerce Clarity, Message Clarity",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_competing_hero_ctas.html
2,Vague hero copy,URGENT,Homepage,Low,0.5-2 days,5,10,no,conversion,"The hero headline and subhead are generic and don't address the visitor's specific intent, causing them to leave without engaging.","The hero headline and subhead are generic and don't address the visitor's specific intent, causing them to leave without engaging.","h1: Shoes That Feel Like Nothing. Made From Nature.; cta: Shop Best Sellers; notes: Add a subhead: 'Find your perfect fit with our comfy, sustainable shoes. Free shipping & returns.' This directly addresses comfort and sustainability while guiding to a specific action.",H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN' and 'SHOP WOMEN' with no subhead visible in the crawl.,Message Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_2_vague_hero_copy.html
3,Shipping delay warning,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,"The prominent shipping delay notice undermines the hero's promise of comfort and natural materials, creating an immediate objection about delivery reliability.","The prominent shipping delay notice undermines the hero's promise of comfort and natural materials, creating an immediate objection about delivery reliability.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Replace the delay notice with a trust element: 'Free shipping & free returns' or 'Rated 4.5/5 by 100,000+ customers' to counter the objection.","Body sample: 'Due to increased demand, orders may take up to 30 days to ship.'",Trust & Objection,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_3_shipping_delay_warning.html
4,Free shipping threshold hidden,URGENT,Homepage,Low,0.5-2 days,5,10,no,conversion,"The homepage hero promotes 'Wildly Comfortable. Super Natural.' without any mention of the $100 free shipping threshold, which is only disclosed in the sitewide banner and cart, creating an expectation gap for first-time visitors.","The homepage hero promotes 'Wildly Comfortable. Super Natural.' without any mention of the $100 free shipping threshold, which is only disclosed in the sitewide banner and cart, creating an expectation gap for first-time visitors.","h1: Wildly Comfortable. Super Natural. Free Shipping Over $100.; cta: SHOP MEN / SHOP WOMEN; notes: Add a subheading or badge on the hero to set expectations for free shipping threshold, reducing cart abandonment.",Homepage hero H1: 'Wildly Comfortable. Super Natural.'; sitewide banner: 'Free ground shipping on orders over $100'; cart drawer: 'Spend more to earn free shipping! Shipping $5.00'.,Pricing Transparency,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_4_free_shipping_threshold_hidden.html
5,Mega-menu choice overload,HIGH,Navigation,Medium,2-5 days,5,10,no,conversion,"The mega-menu presents an overwhelming number of categories and subcategories, risking choice paralysis and navigation abandonment.","The mega-menu presents an overwhelming number of categories and subcategories, risking choice paralysis and navigation abandonment.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Simplify mega-menu to top-level categories with limited subcategories, or use a 'Shop All' as primary CTA to reduce cognitive load.","The homepage nav_items list includes 20+ items such as 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_mega_menu_choice_overload.html
6,Missing H1 and description,HIGH,Homepage,Medium,2-5 days,5,10,no,traffic,"The Shop All page has no H1 or meta description, leaving visitors without context and hurting SEO and clarity.","The Shop All page has no H1 or meta description, leaving visitors without context and hurting SEO and clarity.","h1: Shop All Shoes & Apparel; cta: Apply filters; notes: Add a meta description and a short intro: 'Explore our full collection of comfortable, sustainable shoes and apparel for men and women.' This improves clarity and SEO.",H1 count is 0 on /collections/shop-all-26; meta_description is null; body starts with 'SHOP ALL '26' as a title but it's not an H1.,Message Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_6_missing_h1_and_description.html
7,Missing review count,URGENT,Product Page,Medium,2-5 days,4,10,no,trust,"The product page shows a reviews section but lacks a visible review count or rating summary near the price, so buyers cannot quickly validate quality.","The product page shows a reviews section but lacks a visible review count or rating summary near the price, so buyers cannot quickly validate quality.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Add a review summary near the price: '4.5/5 (1,200+ reviews)' to provide social proof at the point of purchase decision.",H2s include 'Reviews for Anytime Ankle Sock' but no review count or star rating appears in the body sample or CTAs.,Trust & Objection,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_7_missing_review_count.html
8,Size availability not shown,URGENT,Product Page,Medium,2-5 days,4,10,no,conversion,"Product pages do not display size availability upfront, forcing users to click through to select a size, which can lead to disappointment and abandonment when their size is out of stock.","Product pages do not display size availability upfront, forcing users to click through to select a size, which can lead to disappointment and abandonment when their size is out of stock.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Display size availability (e.g., checkmarks or 'Low stock' badges) next to each size option to set expectations and reduce friction.",Product page for 'Anytime Ankle Sock' has CTA 'Get Notified' (likely for out-of-stock sizes) and 'Learn More' but no visible size selector or availability indicators in the initial view; size selector is present in the DOM (direct_signals: size_selector: true) but not surfaced in the body sample.,Pricing Transparency,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_8_size_availability_not_shown.html
9,Unclear size availability,URGENT,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page for Anytime Ankle Sock shows a 'Get Notified' CTA without clear size options, potentially confusing users about availability and blocking immediate purchase.","The product page for Anytime Ankle Sock shows a 'Get Notified' CTA without clear size options, potentially confusing users about availability and blocking immediate purchase.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: If the item is in stock, ensure an 'Add to Cart' button is visible. If out of stock, clearly state 'Out of Stock' and provide a 'Notify Me' option, avoiding mixed signals.","The product page CTAs include 'Get Notified' and 'Learn More', but the direct_signals show size_selector: true and add_to_cart: false, indicating the size selector exists but the add-to-cart button is not present, possibly due to out-of-stock or pre-order state.",Nav & Distraction,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_9_unclear_size_availability.html
10,Single-field email capture,HIGH,Forms & Signup,Medium,2-5 days,3,10,no,conversion,"The homepage email signup form asks only for an email address, which is the minimum viable field set, but it lacks a trust layer (e.g., privacy note, incentive) which may increase friction and reduce signups.","The homepage email signup form asks only for an email address, which is the minimum viable field set, but it lacks a trust layer (e.g., privacy note, incentive) which may increase friction and reduce signups.","h1: Wildly Comfortable. Super Natural.; cta: Sign Up for 10% Off; notes: Add a clear incentive (e.g., 'Get 10% off your first order') and a privacy note ('We respect your privacy. Unsubscribe anytime.') to reduce friction and increase signup rate.","Form on homepage has 1 input, no labels, submit button 'Sign Up'.",Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_single_field_email_capture.html
